n	y	eta
400	1.02926	1.03032
401	0.631917	0.635283
402	0.921278	0.921565
403	1.84411	1.84422
404	-1.84966	1.84995
405	-0.742437	0.742558
406	1.45242	1.45442
407	0.310878	0.310976
408	-4.22103	4.2268
409	2.3592	2.35947
410	-1.11493	1.11502
411	4.33365	4.33381
412	1.32765	1.66256
413	4.86632	4.8665
414	-2.05916	2.0593
415	2.87341	2.87357
416	-0.483642	0.484128
417	-0.397564	0.397607
418	-4.02531	4.0255
419	-4.00759	4.01073
420	-1.35536	1.38808
421	0.571484	0.571536
422	4.21063	4.21077
423	2.82422	2.82432
424	1.52709	1.58846
425	-2.97046	2.97058
426	0.675844	0.675952
427	-3.48208	3.48234
428	1.42944	1.4296
429	-4.28934	4.28946
430	-2.76969	2.76988
431	3.34038	3.34116
432	-2.91059	2.91116
433	2.1843	2.18493
434	-0.610644	0.610774
435	2.18912	2.18938
436	-1.57332	1.57376
437	3.13107	3.1315
438	-1.35703	1.35934
439	-2.37309	2.37319
440	-3.86129	3.88133
441	-4.41779	4.41852
442	1.01964	1.01986
443	3.81805	3.81842
444	-1.51562	1.51572
445	-3.18065	3.18534
446	3.11279	3.11289
447	-2.53864	2.53874
448	-1.89746	1.89757
449	-1.73371	1.73408
450	2.82237	2.82249
451	0.525893	0.525976
452	-1.78398	1.78525
453	-1.11363	1.11419
454	4.61224	4.6133
455	2.02905	2.02917
456	-3.83027	3.83063
457	2.5655	2.566
458	4.7114	4.71266
459	4.63844	4.63918
460	0.912259	0.912398
461	3.91047	3.913
462	-3.38248	3.38267
463	-0.772762	0.792324
464	-3.98251	3.9829
465	-2.78805	2.78821
466	2.94893	2.94925
467	-4.91108	4.91124
468	-3.6052	3.60749
469	3.02394	3.02409
470	-4.51143	5.01176
471	-3.242	3.24222
472	-2.33575	2.33588
473	3.84766	3.84801
474	0.707048	0.707169
475	0.571422	0.571531
476	4.94389	4.95281
477	0.644353	0.644469
478	0.853722	0.853792
479	1.28147	1.28206
480	2.36511	2.36531
481	0.711075	0.7258
482	1.23125	1.23442
483	1.479	1.47932
484	4.77528	4.78496
485	3.6331	3.6332
486	4.55593	4.55604
487	-3.07786	3.07817
488	4.71459	4.71473
489	-0.404185	0.409356
490	4.25591	4.25601
491	2.04095	2.04108
492	-0.350871	0.351023
493	-4.23879	4.23891
494	-2.44311	2.44368
495	2.37406	2.37416
496	0.53609	0.536413
497	0.236052	0.236106
498	3.88513	3.88536
499	4.3934	4.39358
500	1.21799	1.21821
501	3.92427	3.92828
502	3.41759	3.41773
503	2.99409	2.99434
504	-3.38379	3.3842
505	-1.44618	1.44631
506	-2.24286	2.24298
507	-4.92808	4.9285
508	-1.71994	1.72007
509	2.90912	2.91254
510	2.8758	2.90487
511	0.758954	0.759567
512	3.36832	3.36848
513	0.179237	0.179321
514	-2.28994	2.30273
515	0.913874	0.913987
516	-2.40087	2.48421
517	-0.298027	0.298071
518	0.684546	0.684817
519	4.14889	4.14935
520	0.285973	0.2861
521	3.17287	3.17313
522	-1.70253	1.70275
523	0.449389	0.449798
524	4.07791	4.07881
525	-2.58552	2.58614
526	3.6417	3.64194
527	-4.63439	4.63499
528	4.16844	4.17651
529	-0.736518	0.736674
530	-4.88252	4.88262
531	-4.19345	4.19391
532	0.0154947	0.0156387
533	-1.26668	1.26679
534	3.20459	3.20513
535	3.0008	3.00185
536	0.584919	0.58584
537	-3.46632	3.46648
538	-0.581545	0.581867
539	0.459918	0.460377
540	-4.65842	4.65871
541	-4.54992	4.55007
542	1.04783	1.04794
543	0.993304	1.03097
544	1.36054	1.36063
545	2.09477	2.09585
546	-4.56586	4.56615
547	4.19463	4.20643
548	-1.59015	1.59067
549	1.14968	1.14985
550	0.810162	0.812398
551	0.105006	0.105026
552	-4.67586	4.67676
553	-4.72253	4.75771
554	-1.37824	1.38214
555	3.23896	3.2412
556	-1.38822	1.38837
557	-2.05338	2.05349
558	4.50474	4.5049
559	-0.124107	0.124505
560	4.19671	4.19697
561	-2.6567	2.65681
562	4.87199	4.8722
563	0.0804832	0.0805489
564	-0.534117	0.5342
565	-0.103711	0.103722
566	0.380634	0.380669
567	-3.32887	3.3337
568	1.63998	1.64022
569	-4.55263	4.55273
570	2.68598	2.68616
571	-0.774925	0.775039
572	2.37538	2.37589
573	-4.04262	4.0433
574	1.11161	1.1144
575	-2.25459	2.27885
576	2.80394	3.04183
577	-0.0608319	0.0608524
578	1.62665	1.62674
579	-4.04221	4.04237
580	-3.75019	3.75349
581	-3.63143	3.63233
582	0.85537	0.855806
583	-2.66478	2.66516
584	-0.0117063	0.011712
585	-2.24291	2.24335
586	-3.53107	3.53168
587	-1.02796	1.02809
588	-0.846141	1.09925
589	0.724442	0.724509
590	-4.2373	4.2375
591	0.573793	0.573892
592	-1.44144	1.44154
593	1.24258	1.24267
594	-4.46739	4.46789
595	-3.72226	3.72249
596	-1.94556	1.94598
597	3.41287	3.41303
598	0.686014	0.686094
599	-3.59484	3.59496
600	-1.46932	1.4724
601	-1.65142	6.80859
602	-3.85558	3.85603
603	-1.15607	1.17783
604	-2.74996	2.75007
605	0.563752	0.564064
606	3.03822	3.03839
607	-3.42061	3.42082
608	-3.34949	3.3498
609	-3.218	3.2183
610	0.022338	0.0223523
611	-1.03446	1.03465
612	0.706055	0.706268
613	1.98659	1.98677
614	-1.8735	1.8737
615	-2.93362	2.9345
616	-2.44599	2.45962
617	-3.3432	3.34462
618	-2.26442	2.27376
619	3.99671	5.59305
620	0.069104	0.0699611
621	2.99837	2.99904
622	0.698011	0.69808
623	-0.295883	0.296009
624	2.39972	2.4008
625	4.53164	4.532
626	4.54586	4.54693
627	-4.50116	4.53783
628	0.875594	0.875869
629	1.64398	1.64412
630	0.877193	0.877317
631	0.659284	0.659403
632	-0.874683	0.875
633	-2.87036	2.87105
634	-2.18318	2.18334
635	-3.15348	3.15377
636	0.686817	0.686879
637	-4.00675	4.00694
638	4.42264	4.42758
639	3.73335	3.73407
640	-2.81652	2.81674
641	4.24442	4.24465
642	-3.23784	3.23794
643	1.98125	1.98159
644	2.2287	2.22995
645	1.63986	1.64048
646	-2.66441	2.66474
647	-3.4629	3.46403
648	4.61523	4.61658
649	-1.67819	1.67854
650	-0.20691	0.223586
651	-4.68204	4.68215
652	0.0132103	0.0132126
653	-3.13526	3.14277
654	2.00858	2.0087
655	-3.74179	3.74193
656	3.86306	3.86318
657	-4.07859	4.07872
658	-4.7541	4.75439
659	3.26299	3.26338
660	-3.47211	3.6784
661	-4.41951	4.42137
662	2.20198	2.20227
663	-4.6756	4.67634
664	0.784331	0.785193
665	4.24925	4.24938
666	3.81452	3.81464
667	-3.94267	3.94443
668	-4.12157	4.12213
669	3.26358	3.26387
670	-1.47986	1.47996
671	2.07908	2.07942
672	-4.97557	4.97584
673	-1.99156	1.99167
674	0.903143	0.903268
675	2.74493	2.74534
676	1.17427	1.17445
677	-3.70548	3.70639
678	-4.55698	4.55719
679	-4.80654	4.80814
680	0.265118	0.26515
681	1.80477	1.80746
682	4.00993	4.01022
683	2.90738	2.90748
684	-4.21584	4.2176
685	2.77537	2.7803
686	0.692758	0.756369
687	1.68751	1.69188
688	-2.14506	2.14517
689	0.987521	0.98765
690	-4.03263	4.03413
691	1.18912	1.18955
692	-2.94212	2.94251
693	-4.48211	4.4825
694	4.10256	4.10269
695	3.72825	3.73424
696	-4.84594	4.85437
697	3.44732	3.44746
698	-1.60489	1.6061
699	4.05235	4.05592
700	-2.47434	2.47506
701	3.48358	3.48381
702	-3.31783	3.39401
703	-1.0644	1.07319
704	-0.132961	0.132974
705	-1.70481	1.70805
706	-1.34442	1.34453
707	-2.02395	2.02851
708	1.96794	1.96896
709	3.21436	3.21645
710	-0.794715	0.795138
711	-4.56183	4.56768
712	-2.52438	2.52454
713	-1.47667	1.47953
714	0.24018	0.240277
715	-4.95	4.95031
716	4.4034	4.40359
717	0.984252	0.984371
718	-1.29533	1.29541
719	0.622682	0.622786
720	4.84298	4.84314
721	-0.593879	0.594449
722	3.40217	3.4026
723	4.21202	4.22934
724	-4.12389	4.1243
725	-3.55939	3.83285
726	-0.631025	0.631164
727	4.44074	4.44145
728	-4.23574	4.23632
729	-2.28468	2.28702
730	0.539745	0.539983
731	-1.22972	1.63602
732	-3.70109	3.7012
733	1.02872	3.85988
734	4.67439	4.6746
735	-1.42471	1.42482
736	-4.43073	4.431
737	-1.98407	1.98422
738	0.363582	0.363692
739	-0.65845	0.659357
740	4.65432	4.65825
741	-3.67891	3.68144
742	2.66093	2.66107
743	-4.13211	4.13232
744	-1.27411	1.27514
745	-0.570362	0.570431
746	1.34854	1.34874
747	-0.791222	0.791449
748	2.95445	2.95455
749	-2.34898	2.34932
750	-3.11111	3.1127
751	2.1462	2.14657
752	-0.792275	0.792344
753	-3.5704	3.57052
754	-2.60992	2.61392
755	0.810998	0.811184
756	-3.4467	3.44723
757	1.06769	1.0678
758	2.89391	2.89455
759	2.63943	2.63964
