n	y	eta
635	-0.0896577	0.0925035
636	-1.15516	1.16997
637	0.338588	0.353081
638	4.79745	5.03723
639	1.30941	1.53496
640	3.07554	3.69628
641	0.431286	0.537367
642	4.77933	4.84925
643	-2.14813	2.1658
644	-2.87041	2.97976
645	4.44658	4.49846
646	3.72192	3.93311
647	-1.46634	1.73336
648	2.00982	2.27972
649	-3.59565	3.61689
650	-3.81002	3.99796
651	4.23204	7.47189
652	1.67637	2.47995
653	2.09032	2.24129
654	-4.29683	4.43113
655	-2.43331	2.45981
656	2.83454	2.87635
657	-2.36296	2.41672
658	-4.29514	5.0246
659	2.9922	3.06963
660	-2.71974	2.78155
661	-4.47889	4.50299
662	-1.33637	1.62124
663	2.00428	2.02421
664	3.02324	3.05596
665	-3.58829	3.61001
666	-0.276677	0.282228
667	-0.751953	0.770927
668	0.214386	0.22051
669	2.8735	3.2027
670	-0.261895	0.266708
671	-0.303727	0.322795
672	3.43818	3.50575
673	-4.81349	4.83597
674	-2.17777	2.21446
675	-3.02251	5.18655
676	0.617489	0.650805
677	1.10467	1.12164
678	1.55337	1.64527
679	4.95458	5.79811
680	-3.48243	3.51141
681	-1.21016	1.38828
682	-2.98995	3.03079
683	2.64059	2.7139
684	4.37626	5.06766
685	-1.858	2.19406
686	0.954288	0.989319
687	1.68701	2.23557
688	0.171587	0.189698
689	-1.46449	1.50257
690	0.0522183	0.104292
691	-1.90369	1.92343
692	3.0116	3.03338
693	4.95083	5.77236
694	-2.69008	2.70608
695	4.14159	4.36838
696	-3.72829	3.81286
697	-4.93161	5.05008
698	-4.03069	4.08174
699	-4.49381	4.5117
700	-1.77693	1.94797
701	-0.540066	0.551065
702	-3.51354	3.5394
703	-1.43018	1.5441
704	3.02045	3.10205
705	-0.348137	0.381796
706	-2.38168	2.43058
707	-1.25762	1.27489
708	1.94915	2.1328
709	0.194896	0.199038
710	-1.40138	1.87615
711	-1.91344	3.82693
712	2.26791	2.37018
713	3.15208	3.18827
714	-4.13607	4.16471
715	3.58279	3.91557
716	-2.69354	2.78645
717	-1.73564	1.94136
718	-0.810336	0.882951
719	-4.54904	4.59733
720	-1.06049	3.09799
721	0.282784	0.324193
722	-2.14901	2.17217
723	2.18776	2.20419
724	-2.28163	2.3351
725	4.05921	4.24667
726	1.71913	1.76262
727	-3.81269	4.09779
728	0.300715	0.306767
729	-2.77574	3.00366
730	2.99766	3.01951
731	-4.74836	4.76594
732	-1.15022	1.27851
733	-0.902969	0.932686
734	-4.64982	5.44066
735	-4.75044	5.22131
736	4.65081	5.31635
737	-4.15248	4.21201
738	-0.442495	0.459876
739	-2.69806	2.76839
740	-4.58207	4.61102
741	-1.40714	1.47843
742	-1.49308	2.87086
743	-3.87589	3.90238
744	-0.88045	0.973046
745	-0.0277258	0.0290125
746	-0.844575	2.06564
747	-2.57868	2.62012
748	3.73992	3.88702
749	1.04465	1.06271
750	-3.93366	4.12661
751	-1.62021	1.63972
752	-3.17344	3.59371
753	-1.78104	1.94543
754	-2.73741	3.41598
755	-1.34007	1.40022
756	1.88205	1.95128
757	4.81758	4.83581
758	-2.96705	2.99033
759	4.1966	4.42974
760	-0.709938	0.969555
761	3.26971	3.30181
762	4.39279	4.4136
763	1.45069	1.48548
764	2.20939	2.26732
765	2.22281	2.25751
766	3.78956	3.80954
767	3.99289	4.013
768	-0.170086	0.178427
769	2.00017	2.0803
770	2.73275	2.75311
771	4.77302	5.69486
772	2.9129	2.93118
773	0.00377329	0.0038337
774	-4.4677	4.86967
775	1.09836	2.61525
776	3.36924	3.91389
777	-1.73215	1.77853
778	0.059104	0.0601415
779	0.894747	0.931077
780	-2.78611	2.88599
781	-4.45577	4.47988
782	-1.27984	1.29599
783	-3.38045	3.41076
784	-3.25103	3.2802
785	0.642578	0.653572
786	4.27984	5.13842
787	-0.903476	0.959042
788	0.00620777	0.00635184
789	2.13859	2.78559
790	-1.69933	1.80587
791	-4.63913	4.67351
792	2.60501	2.77866
793	4.43195	4.4995
794	-1.65275	2.68396
795	-0.0673912	0.125967
796	3.44426	4.19237
797	1.56458	1.60764
798	0.0139595	0.0144927
799	-4.28551	4.39864
800	1.80386	1.97422
801	1.24465	1.46948
802	-3.22733	3.24514
803	-1.72357	1.82871
804	4.44147	4.4599
805	-2.68262	2.75398
806	-1.34804	1.4082
807	-0.587949	0.602575
808	1.30696	1.51275
809	-1.07891	1.09315
810	4.1707	4.19658
811	0.215359	0.227252
812	-0.669466	0.691174
813	4.77937	4.79985
814	4.96408	4.98315
815	1.10742	1.1996
816	1.85093	1.90183
817	-2.14836	2.17679
818	-2.30676	2.5443
819	0.402482	0.420367
820	1.5431	1.58956
821	-0.123155	0.125233
822	-4.60188	4.62289
823	-3.54797	3.6679
824	-1.8671	2.79551
825	1.3593	1.40473
826	-0.77319	0.794511
827	4.91855	4.9488
828	-1.6454	1.66173
829	2.90184	3.02432
830	-4.80822	5.10326
831	-4.91338	5.00001
832	1.36133	1.43671
833	0.666317	0.680084
834	4.06633	4.09123
835	-3.81073	4.3802
836	3.78866	4.05216
837	0.804488	0.819259
838	0.355013	0.380369
839	0.891863	0.914428
840	-2.37037	2.41923
841	-4.20849	4.31158
842	-1.17418	1.19157
843	0.413789	0.444866
844	-4.59202	4.71475
845	-4.5009	4.52088
846	2.32488	2.34437
847	2.64247	2.8292
848	-1.47602	1.58698
849	-2.25922	2.32167
850	-0.622414	0.780578
851	3.19974	3.30486
852	4.99617	5.28897
853	-2.64697	3.64344
854	-3.73925	3.77536
855	-1.16091	1.37186
856	-4.50394	5.4612
857	-4.25317	4.75276
858	0.340651	0.424493
859	-3.49769	3.93668
860	4.47624	4.51831
861	1.34838	1.4447
862	-2.41288	2.69634
863	-4.51266	4.7598
864	2.29964	2.40979
865	3.70141	3.7359
866	2.15816	2.25457
867	-0.15652	0.169192
868	-4.09463	4.17036
869	-2.49449	2.54077
870	0.441409	0.522343
871	1.0565	1.32189
872	-4.02481	4.13341
873	-4.74065	4.92845
874	-2.03606	2.07117
875	-2.93553	2.9921
876	-1.23694	1.26476
877	4.24131	4.42115
878	-2.59629	2.61345
879	-2.53871	2.55603
880	-2.04324	2.06851
881	-3.61942	3.63567
882	3.06384	3.2747
883	2.26926	2.2932
884	-1.57943	1.59508
885	-3.86466	3.89043
886	1.11936	1.18157
887	-0.20055	0.217589
888	-1.00484	3.57926
889	-1.58961	1.67624
890	1.82046	2.55211
891	4.39929	4.41912
892	-1.11228	1.13568
893	1.93371	2.12083
894	3.36925	3.38923
895	0.994775	1.01648
896	-4.44231	4.50776
897	-3.55906	3.58824
898	-1.40058	1.42535
899	2.59076	2.67828
900	3.48496	3.51256
901	0.881972	1.63234
902	0.917932	0.933032
903	-3.30113	3.31718
904	0.740224	2.59098
905	1.8722	1.93178
906	-4.41587	4.61464
907	-1.8558	2.50912
908	-0.0879041	0.0893211
909	-4.23674	4.35512
910	4.47291	4.58662
911	-0.39264	0.398559
912	-0.866605	1.06843
913	3.65214	3.70232
914	-0.241505	0.295445
915	-0.2472	0.276324
916	-0.0310065	0.031642
917	2.84777	2.87042
918	-3.6838	3.70252
919	-4.19998	4.28552
920	-0.3441	0.361871
921	4.6171	5.96102
922	-1.05628	1.11443
923	4.71187	4.73773
924	-2.16078	2.17921
925	-2.86284	2.91437
926	2.23317	2.34614
927	-2.65726	2.68602
928	-2.20718	2.23064
929	4.09938	4.15658
930	2.23778	2.46829
931	-4.20523	4.2534
932	-0.513052	0.526854
933	-1.9063	2.29381
934	3.18918	3.43739
935	-2.14044	2.21695
936	-3.43405	3.49238
937	3.0851	3.78153
938	0.237969	0.249456
939	-0.634514	0.65729
940	3.2721	3.42164
941	-4.61068	5.31515
942	-1.75283	1.82032
943	1.87183	2.13596
944	-1.27306	1.54231
945	-1.40869	1.42974
946	4.82338	5.38816
947	-1.8285	2.30153
948	-1.97138	2.16549
949	-4.88652	4.91338
950	-4.84108	4.92894
951	-0.93713	0.963401
952	0.449703	0.469606
953	2.23454	2.25487
954	4.94494	4.97796
955	3.76486	3.80158
956	3.10268	3.12495
957	-1.2777	1.30243
958	-3.11376	3.13361
959	2.38984	2.94979
960	1.56534	1.58725
961	1.57791	1.73739
962	0.367229	0.373321
963	-4.30094	4.33404
964	1.0146	1.03158
965	4.61364	4.84017
966	-1.21443	1.37433
967	2.8984	2.91981
968	0.82448	2.52806
969	4.92295	5.3466
970	1.73297	1.75952
971	-1.01355	2.58238
972	2.84199	2.89276
973	1.18549	1.19992
974	3.30289	3.46678
975	0.341414	1.59888
976	-0.443517	0.460435
977	-3.74305	3.75905
978	-3.33128	3.37206
979	3.31956	3.37145
980	-2.23146	2.27439
981	-1.14314	1.26106
982	-3.39029	3.42636
983	0.789389	0.831266
984	1.8882	2.34346
985	-1.7964	1.96209
986	-0.599856	0.641875
987	3.45681	3.5061
988	-0.101193	0.268202
989	-3.02963	3.13839
990	3.21764	3.28632
991	3.06992	3.14355
992	4.2311	4.25174
993	-2.30216	2.32466
994	-3.71712	3.74138
995	3.58315	3.89772
996	3.95059	4.00742
997	-4.39446	4.41409
998	-0.804738	0.923504
999	2.99449	3.01946
1000	-2.89274	2.91917
